model,disease,original_auroc,residualized_auroc,adversarial_auroc,confounder_only_auroc,drop_residualization,drop_adversarial,cxr_added_value,classification,adv_best_alpha,embedding_r2_confounders
ResNet50-ImageNet,Atelectasis,0.739523059943187,0.7418486553643694,0.6324666630480016,0.5720467169661112,-0.0023255954211823804,0.10705639689518542,0.1674763429770758,genuine,0.01,0.03799121180452667
ResNet50-ImageNet,Cardiomegaly,0.7977897883329077,0.7696523185472677,0.7321999882936707,0.6759465353892053,0.028137469785640024,0.06558980003923698,0.12184325294370235,genuine,0.01,0.03799121180452667
ResNet50-ImageNet,Consolidation,0.8590701891666978,0.8527778812833029,0.7937491771310752,0.5941580653575288,0.006292307883394854,0.06532101203562257,0.26491212380916895,genuine,0.01,0.03799121180452667
ResNet50-ImageNet,Edema,0.8758027588046091,0.8700243972712561,0.8341777712023148,0.5843114367274109,0.0057783615333529825,0.04162498760229427,0.2914913220771982,genuine,0.01,0.03799121180452667
ResNet50-ImageNet,Enlarged Cardiomediastinum,0.7836587551527254,0.7687615536267507,0.7673226310264485,0.6176193768082545,0.014897201525974735,0.01633612412627694,0.1660393783444709,genuine,0.01,0.03799121180452667
ResNet50-ImageNet,Lung Opacity,0.7286770349209057,0.7137090670703108,0.6484089189016331,0.5819920425958299,0.014967967850594954,0.08026811601927264,0.1466849923250758,genuine,0.01,0.03799121180452667
ResNet50-ImageNet,Pleural Effusion,0.853430540868624,0.8467907361749849,0.7441956590842987,0.6297438275182566,0.0066398046936391175,0.10923488178432528,0.22368671335036738,genuine,0.01,0.03799121180452667
ResNet50-ImageNet,Pneumonia,0.7478611718255878,0.7468122012304903,0.6865224372523391,0.5608511515114556,0.0010489705950974537,0.06133873457324868,0.18701002031413216,genuine,0.01,0.03799121180452667
ResNet50-ImageNet,Pneumothorax,0.6751001703197257,0.680246395439807,0.569042572005726,0.615654936530305,-0.005146225120081338,0.10605759831399963,0.05944523378942068,genuine,0.01,0.03799121180452667
ResNet50-ImageNet,Support Devices,0.721219489541274,0.7165769403319875,0.6373906460296097,0.5588441776020637,0.004642549209286528,0.08382884351166431,0.1623753119392103,genuine,0.01,0.03799121180452667
DINOv2-base,Atelectasis,0.7649441820912265,0.7628263583564023,0.6614141743110966,0.5720467169661112,0.0021178237348241646,0.10353000778012988,0.1928974651251153,genuine,0.01,0.045247525233405854
DINOv2-base,Cardiomegaly,0.812333977181449,0.7953322688902216,0.7290929526509052,0.6759465353892053,0.01700170829122738,0.08324102453054372,0.1363874417922436,genuine,0.01,0.045247525233405854
DINOv2-base,Consolidation,0.8830435592651934,0.8766782178832706,0.7843097216529419,0.5941580653575288,0.0063653413819227955,0.09873383761225152,0.2888854939076646,genuine,0.01,0.045247525233405854
DINOv2-base,Edema,0.8936576635961192,0.8908246258837709,0.8108842196819261,0.5843114367274109,0.0028330377123483297,0.08277344391419306,0.3093462268687083,genuine,0.01,0.045247525233405854
DINOv2-base,Enlarged Cardiomediastinum,0.7961881352894489,0.7843818009575747,0.7613344598919527,0.6176193768082545,0.011806334331874169,0.034853675397496175,0.17856875848119436,genuine,0.01,0.045247525233405854
DINOv2-base,Lung Opacity,0.7443991706817892,0.7383980727412272,0.697115241120539,0.5819920425958299,0.006001097940562028,0.04728392956125016,0.16240712808595925,genuine,0.01,0.045247525233405854
DINOv2-base,Pleural Effusion,0.8875897684612655,0.882714363024916,0.7836498338430993,0.6297438275182566,0.004875405436349456,0.1039399346181662,0.25784594094300883,genuine,0.01,0.045247525233405854
DINOv2-base,Pneumonia,0.7532971194773119,0.7509701996255029,0.6753716673065364,0.5608511515114556,0.002326919851808995,0.07792545217077551,0.19244596796585633,genuine,0.01,0.045247525233405854
DINOv2-base,Pneumothorax,0.703396183256689,0.7001771487348041,0.5483697514895027,0.615654936530305,0.003219034521884878,0.15502643176718622,0.08774124672638395,genuine,0.01,0.045247525233405854
DINOv2-base,Support Devices,0.7574415026357111,0.7638006813593539,0.6050738314546882,0.5588441776020637,-0.006359178723642778,0.1523676711810229,0.19859732503364735,genuine,0.01,0.045247525233405854
XRV-DenseNet-nih,Atelectasis,0.7137545459479997,0.7125266122660684,0.618501028303992,0.5720467169661112,0.0012279336819313036,0.09525351764400769,0.1417078289818885,genuine,0.01,0.06542935157645394
XRV-DenseNet-nih,Cardiomegaly,0.8175861514123477,0.7984175575969914,0.7303159575314728,0.6759465353892053,0.019168593815356294,0.08727019388087487,0.14163961602314235,genuine,0.01,0.06542935157645394
XRV-DenseNet-nih,Consolidation,0.8252020220839387,0.815896461353107,0.6866967246711629,0.5941580653575288,0.009305560730831663,0.13850529741277573,0.23104395672640987,genuine,0.01,0.06542935157645394
XRV-DenseNet-nih,Edema,0.8424471586814448,0.8353617668185331,0.7483841166131141,0.5843114367274109,0.007085391862911683,0.09406304206833072,0.2581357219540339,genuine,0.01,0.06542935157645394
XRV-DenseNet-nih,Enlarged Cardiomediastinum,0.7910315692449497,0.7834109122564458,0.7263773459303069,0.6176193768082545,0.007620656988503893,0.06465422331464277,0.17341219243669515,genuine,0.01,0.06542935157645394
XRV-DenseNet-nih,Lung Opacity,0.698545228755383,0.6840878565641922,0.6249716187694538,0.5819920425958299,0.01445737219119081,0.07357360998592921,0.11655318615955312,genuine,0.01,0.06542935157645394
XRV-DenseNet-nih,Pleural Effusion,0.8210766597378326,0.8078846907376683,0.7223989315894385,0.6297438275182566,0.013191969000164283,0.09867772814839415,0.19133283221957598,genuine,0.01,0.06542935157645394
XRV-DenseNet-nih,Pneumonia,0.7138184839660653,0.7043644661153161,0.642192572613667,0.5608511515114556,0.009454017850749175,0.07162591135239826,0.1529673324546097,genuine,0.01,0.06542935157645394
XRV-DenseNet-nih,Pneumothorax,0.6502350202091668,0.640861767493161,0.568769319483255,0.615654936530305,0.009373252716005753,0.08146570072591175,0.034580083678861784,partially_confounded,0.01,0.06542935157645394
XRV-DenseNet-nih,Support Devices,0.6860705122812921,0.6770526651525348,0.5130829583052938,0.5588441776020637,0.009017847128757306,0.1729875539759983,0.1272263346792284,genuine,0.01,0.06542935157645394
BiomedCLIP,Atelectasis,0.7355937927831756,0.7228563932765203,0.6898846248952095,0.5720467169661112,0.012737399506655311,0.045709167887966085,0.1635470758170644,genuine,0.01,0.04028449774242507
BiomedCLIP,Cardiomegaly,0.8406063820779336,0.8166976502667008,0.745972103076775,0.6759465353892053,0.023908731811232764,0.09463427900115862,0.16465984668872824,genuine,0.01,0.04028449774242507
BiomedCLIP,Consolidation,0.9019189924358162,0.8902753660990423,0.8531256598477228,0.5941580653575288,0.011643626336773849,0.048793332588093374,0.3077609270782874,genuine,0.01,0.04028449774242507
BiomedCLIP,Edema,0.8855586046909386,0.8803971836182077,0.8538900643314297,0.5843114367274109,0.005161421072730876,0.031668540359508945,0.3012471679635277,genuine,0.01,0.04028449774242507
BiomedCLIP,Enlarged Cardiomediastinum,0.8012904216913741,0.7876529175307883,0.7440807025629209,0.6176193768082545,0.013637504160585845,0.057209719128453185,0.18367104488311958,genuine,0.01,0.04028449774242507
BiomedCLIP,Lung Opacity,0.7621399714322261,0.749001193877116,0.7141755585639363,0.5819920425958299,0.01313877755511017,0.047964412868289785,0.1801479288363962,genuine,0.01,0.04028449774242507
BiomedCLIP,Pleural Effusion,0.8908190223161554,0.881153405523108,0.8308601259706117,0.6297438275182566,0.009665616793047449,0.059958896345543744,0.26107519479789876,genuine,0.01,0.04028449774242507
BiomedCLIP,Pneumonia,0.7705423023206712,0.7651587916487064,0.7357282480088962,0.5608511515114556,0.005383510671964853,0.03481405431177498,0.20969115080921563,genuine,0.01,0.04028449774242507
BiomedCLIP,Pneumothorax,0.7042113789354468,0.6997721543975363,0.6436753468809446,0.615654936530305,0.004439224537910569,0.0605360320545022,0.08855644240514182,genuine,0.01,0.04028449774242507
BiomedCLIP,Support Devices,0.7621127046882009,0.7553772711978466,0.5966100269179004,0.5588441776020637,0.006735433490354326,0.16550267777030048,0.20326852708613719,genuine,0.01,0.04028449774242507
CLIP-ViT-B16,Atelectasis,0.7193200528325101,0.7111611693113078,0.642191222324751,0.5720467169661112,0.00815888352120231,0.0771288305077591,0.1472733358663989,genuine,0.01,0.03073598033190222
CLIP-ViT-B16,Cardiomegaly,0.7895648484377371,0.7666827050319633,0.7214376841549048,0.6759465353892053,0.02288214340577377,0.06812716428283228,0.11361831304853176,genuine,0.01,0.03073598033190222
CLIP-ViT-B16,Consolidation,0.8568548397113438,0.8533482381289512,0.7868815441368261,0.5941580653575288,0.0035066015823925767,0.0699732955745177,0.262696774353815,genuine,0.01,0.03073598033190222
CLIP-ViT-B16,Edema,0.8540729673004477,0.8484444383715647,0.8147378742192979,0.5843114367274109,0.005628528928882992,0.0393350930811498,0.26976153057303676,genuine,0.01,0.03073598033190222
CLIP-ViT-B16,Enlarged Cardiomediastinum,0.7776326906828481,0.7643951148321684,0.7564861612515043,0.6176193768082545,0.01323757585067975,0.021146529431343875,0.1600133138745936,genuine,0.01,0.03073598033190222
CLIP-ViT-B16,Lung Opacity,0.7304641197288193,0.7158543150130048,0.6666075502067965,0.5819920425958299,0.014609804715814523,0.06385656952202279,0.14847207713298938,genuine,0.01,0.03073598033190222
CLIP-ViT-B16,Pleural Effusion,0.8424836563194025,0.8337720567685558,0.7489796124451625,0.6297438275182566,0.00871159955084666,0.09350404387423994,0.21273982880114584,genuine,0.01,0.03073598033190222
CLIP-ViT-B16,Pneumonia,0.7263445696309961,0.7270546633568999,0.6761237452662343,0.5608511515114556,-0.0007100937259038043,0.05022082436476183,0.16549341811954055,genuine,0.01,0.03073598033190222
CLIP-ViT-B16,Pneumothorax,0.674506617918048,0.670193144836094,0.558318585530666,0.615654936530305,0.004313473081953956,0.11618803238738196,0.05885168138774299,genuine,0.01,0.03073598033190222
CLIP-ViT-B16,Support Devices,0.7478744322005383,0.7475139496410946,0.6523669701940331,0.5588441776020637,0.00036048255944365337,0.09550746200650517,0.18903025459847456,genuine,0.01,0.03073598033190222
ConvNeXtV2-Base,Atelectasis,0.7502569252202862,0.7464871808789737,0.6183846279107637,0.5720467169661112,0.0037697443413124976,0.13187229730952255,0.178210208254175,genuine,0.01,0.04651820521893776
ConvNeXtV2-Base,Cardiomegaly,0.8181048100520816,0.7947379008376734,0.7091554080002813,0.6759465353892053,0.023366909214408205,0.10894940205180026,0.14215827466287623,genuine,0.01,0.04651820521893776
ConvNeXtV2-Base,Consolidation,0.8809365179913304,0.8750237855696738,0.7952254971370372,0.5941580653575288,0.005912732421656686,0.08571102085429327,0.28677845263380164,genuine,0.01,0.04651820521893776
ConvNeXtV2-Base,Edema,0.8867021973328384,0.8845679367178697,0.7736566482210794,0.5843114367274109,0.002134260614968686,0.11304554911175901,0.30239076060542747,genuine,0.01,0.04651820521893776
ConvNeXtV2-Base,Enlarged Cardiomediastinum,0.7853055790255269,0.7736538904677779,0.7497350026883784,0.6176193768082545,0.011651688557749007,0.03557057633714844,0.16768620221727237,genuine,0.01,0.04651820521893776
ConvNeXtV2-Base,Lung Opacity,0.7463638713597407,0.7354693429412016,0.6374383074659958,0.5819920425958299,0.010894528418539107,0.10892556389374486,0.16437182876391077,genuine,0.01,0.04651820521893776
ConvNeXtV2-Base,Pleural Effusion,0.878768156188198,0.8713101896528306,0.7343085803523108,0.6297438275182566,0.007457966535367455,0.1444595758358872,0.2490243286699414,genuine,0.01,0.04651820521893776
ConvNeXtV2-Base,Pneumonia,0.7500412334840838,0.7511068360727613,0.6645620842290354,0.5608511515114556,-0.0010656025886774945,0.0854791492550484,0.1891900819726282,genuine,0.01,0.04651820521893776
ConvNeXtV2-Base,Pneumothorax,0.7051444925239861,0.7007597341718361,0.5511528261268857,0.615654936530305,0.00438475835215002,0.1539916663971005,0.08948955599368114,genuine,0.01,0.04651820521893776
ConvNeXtV2-Base,Support Devices,0.7668941369448183,0.7638624558378196,0.6596929852231943,0.5588441776020637,0.003031681106998696,0.10720115172162403,0.2080499593427546,genuine,0.01,0.04651820521893776
