model,attribute,attribute_type,disease,auroc_baseline,auroc_residualized,auroc_drop,n_train_bw,n_test_bw
ResNet50-ImageNet,race_black_vs_white,demographic,Atelectasis,0.5973119262328377,0.5961254637528095,0.0011864624800281831,27408,6166
ResNet50-ImageNet,race_black_vs_white,demographic,Cardiomegaly,0.7775140943645876,0.7780424480083645,-0.0005283536437769021,34784,7792
ResNet50-ImageNet,race_black_vs_white,demographic,Consolidation,0.8059531395239955,0.8000455251724513,0.005907614351544188,10599,2344
ResNet50-ImageNet,race_black_vs_white,demographic,Edema,0.8643609766684753,0.8635675746066196,0.0007934020618557414,30215,6811
ResNet50-ImageNet,race_black_vs_white,demographic,Enlarged Cardiomediastinum,0.6712692915299551,0.6711713992519679,9.789227798717715e-05,6832,1569
ResNet50-ImageNet,race_black_vs_white,demographic,Lung Opacity,0.627208829904714,0.6255650781305123,0.0016437517742017294,31386,6925
ResNet50-ImageNet,race_black_vs_white,demographic,Pleural Effusion,0.8434884725708517,0.8399449920649473,0.0035434805059043617,46629,10525
ResNet50-ImageNet,race_black_vs_white,demographic,Pneumonia,0.7213325640417287,0.7199994248287067,0.0013331392130220276,22166,4799
ResNet50-ImageNet,race_black_vs_white,demographic,Pneumothorax,0.6731271325006936,0.6741588160415768,-0.0010316835408832326,30034,6756
ResNet50-ImageNet,race_black_vs_white,demographic,Support Devices,0.683763156513113,0.6828153625519146,0.0009477939611984842,40466,9469
DINOv2-base,race_black_vs_white,demographic,Atelectasis,0.6993620860075284,0.6960032631949522,0.0033588228125761566,27408,6166
DINOv2-base,race_black_vs_white,demographic,Cardiomegaly,0.8087013262477522,0.8091250191994032,-0.0004236929516510113,34784,7792
DINOv2-base,race_black_vs_white,demographic,Consolidation,0.8737704206662968,0.867403748137693,0.0063666725286037895,10599,2344
DINOv2-base,race_black_vs_white,demographic,Edema,0.8881557460661964,0.8877702875746067,0.00038545849158966305,30215,6811
DINOv2-base,race_black_vs_white,demographic,Enlarged Cardiomediastinum,0.7583360338099675,0.7572777845289693,0.0010582492809981803,6832,1569
DINOv2-base,race_black_vs_white,demographic,Lung Opacity,0.7001566220183155,0.6979233840201237,0.0022332379981918615,31386,6925
DINOv2-base,race_black_vs_white,demographic,Pleural Effusion,0.8795089329935909,0.8762823487755993,0.0032265842179916016,46629,10525
DINOv2-base,race_black_vs_white,demographic,Pneumonia,0.7438001926823833,0.7429133504446793,0.0008868422377039664,22166,4799
DINOv2-base,race_black_vs_white,demographic,Pneumothorax,0.7030906000055737,0.7035080706602707,-0.0004174706546969942,30034,6756
DINOv2-base,race_black_vs_white,demographic,Support Devices,0.7332556860729553,0.7314797467759808,0.0017759392969745047,40466,9469
BiomedCLIP,race_black_vs_white,demographic,Atelectasis,0.710417682183768,0.7091795975844234,0.0012380845993446021,27408,6166
BiomedCLIP,race_black_vs_white,demographic,Cardiomegaly,0.8469829335155579,0.8464672924017731,0.0005156411137847705,34784,7792
BiomedCLIP,race_black_vs_white,demographic,Consolidation,0.892040631597058,0.8876434176158057,0.004397213981252368,10599,2344
BiomedCLIP,race_black_vs_white,demographic,Edema,0.8871226478567553,0.8866369180683668,0.00048572978838856695,30215,6811
BiomedCLIP,race_black_vs_white,demographic,Enlarged Cardiomediastinum,0.787642956481819,0.7872361971888039,0.00040675929301514646,6832,1569
BiomedCLIP,race_black_vs_white,demographic,Lung Opacity,0.7563469247443098,0.7544845256789552,0.0018623990653545697,31386,6925
BiomedCLIP,race_black_vs_white,demographic,Pleural Effusion,0.8867287982346879,0.8821697995898642,0.004558998644823675,46629,10525
BiomedCLIP,race_black_vs_white,demographic,Pneumonia,0.7671756932611493,0.7662859751669794,0.0008897180941699334,22166,4799
BiomedCLIP,race_black_vs_white,demographic,Pneumothorax,0.7023485531958966,0.7023516034630515,-3.0502671548582327e-06,30034,6756
BiomedCLIP,race_black_vs_white,demographic,Support Devices,0.7495558079321789,0.7486389623452236,0.0009168455869552616,40466,9469
XRV-DenseNet-nih,race_black_vs_white,demographic,Atelectasis,0.6467972283153248,0.6456293836488207,0.0011678446665041031,27408,6166
XRV-DenseNet-nih,race_black_vs_white,demographic,Cardiomegaly,0.8007033163682009,0.8012702429625698,-0.0005669265943688551,34784,7792
XRV-DenseNet-nih,race_black_vs_white,demographic,Consolidation,0.7819093013713125,0.7772212744155382,0.004688026955774305,10599,2344
XRV-DenseNet-nih,race_black_vs_white,demographic,Edema,0.8310797612588172,0.831031665762344,4.8095496473221644e-05,30215,6811
XRV-DenseNet-nih,race_black_vs_white,demographic,Enlarged Cardiomediastinum,0.7551562225732842,0.7540490271532925,0.0011071954199917133,6832,1569
XRV-DenseNet-nih,race_black_vs_white,demographic,Lung Opacity,0.6624372978640662,0.660373890970072,0.002063406893994202,31386,6925
XRV-DenseNet-nih,race_black_vs_white,demographic,Pleural Effusion,0.7887701195210727,0.7865273553828742,0.002242764138198461,46629,10525
XRV-DenseNet-nih,race_black_vs_white,demographic,Pneumonia,0.7045877100273925,0.7042580649799769,0.0003296450474156165,22166,4799
XRV-DenseNet-nih,race_black_vs_white,demographic,Pneumothorax,0.6339316155060608,0.6356389332217489,-0.0017073177156881059,30034,6756
XRV-DenseNet-nih,race_black_vs_white,demographic,Support Devices,0.6716045903070798,0.6697034758892821,0.0019011144177976114,40466,9469
CLIP-ViT-B16,race_black_vs_white,demographic,Atelectasis,0.6831138123866005,0.682083908793024,0.0010299035935764644,27408,6166
CLIP-ViT-B16,race_black_vs_white,demographic,Cardiomegaly,0.775437075936992,0.7762825462535826,-0.0008454703165906574,34784,7792
CLIP-ViT-B16,race_black_vs_white,demographic,Consolidation,0.8310802940712979,0.8249602796676814,0.006120014403616536,10599,2344
CLIP-ViT-B16,race_black_vs_white,demographic,Edema,0.8494919153553988,0.8488801302224633,0.0006117851329354718,30215,6811
CLIP-ViT-B16,race_black_vs_white,demographic,Enlarged Cardiomediastinum,0.7508287087670975,0.7489434385168983,0.0018852702501992447,6832,1569
CLIP-ViT-B16,race_black_vs_white,demographic,Lung Opacity,0.6911953648415156,0.6879882644245678,0.003207100416947717,31386,6925
CLIP-ViT-B16,race_black_vs_white,demographic,Pleural Effusion,0.8281668869091653,0.8238623157708382,0.004304571138327051,46629,10525
CLIP-ViT-B16,race_black_vs_white,demographic,Pneumonia,0.7175502735658463,0.7167419781578701,0.0008082954079762228,22166,4799
CLIP-ViT-B16,race_black_vs_white,demographic,Pneumothorax,0.6727873050099391,0.6733755906253088,-0.0005882856153697213,30034,6756
CLIP-ViT-B16,race_black_vs_white,demographic,Support Devices,0.7256924007924994,0.7244572290704712,0.0012351717220282499,40466,9469
ConvNeXtV2-Base,race_black_vs_white,demographic,Atelectasis,0.6245133980556232,0.6227700936983779,0.0017433043572453455,27408,6166
ConvNeXtV2-Base,race_black_vs_white,demographic,Cardiomegaly,0.8136744505661953,0.813908500433445,-0.00023404986724973043,34784,7792
ConvNeXtV2-Base,race_black_vs_white,demographic,Consolidation,0.8571293714252652,0.8509712924961879,0.006158078929077382,10599,2344
ConvNeXtV2-Base,race_black_vs_white,demographic,Edema,0.8777544438415626,0.8771593271839392,0.0005951166576234623,30215,6811
ConvNeXtV2-Base,race_black_vs_white,demographic,Enlarged Cardiomediastinum,0.7203133228014744,0.7187149781936513,0.0015983446078231545,6832,1569
ConvNeXtV2-Base,race_black_vs_white,demographic,Lung Opacity,0.6740444744178569,0.6728478625073635,0.0011966119104933615,31386,6925
ConvNeXtV2-Base,race_black_vs_white,demographic,Pleural Effusion,0.8648759370844108,0.8618836740242415,0.002992263060169309,46629,10525
ConvNeXtV2-Base,race_black_vs_white,demographic,Pneumonia,0.7376259085909023,0.7363319529222296,0.0012939556686726306,22166,4799
ConvNeXtV2-Base,race_black_vs_white,demographic,Pneumothorax,0.6944769228572185,0.6949498529147312,-0.00047293005751269934,30034,6756
ConvNeXtV2-Base,race_black_vs_white,demographic,Support Devices,0.7185648796743789,0.7173103652184485,0.001254514455930389,40466,9469
