model,disease,n_groups,auroc_max,auroc_min,gap_maxmin,auroc_White,auroc_Black,auroc_Asian,auroc_Other
RAD-DINO,Atelectasis,4,0.7817460317460317,0.6907230466084366,0.0910229851375951,0.6907230466084366,0.7600109615318741,0.7291666666666666,0.7817460317460317
RAD-DINO,Cardiomegaly,4,0.8891758820948976,0.8625429553264603,0.026632926768437315,0.8757861776223358,0.8891758820948976,0.8625429553264603,0.8648091082511156
RAD-DINO,Consolidation,4,0.9412907403410318,0.9095905927793173,0.031700147561714465,0.9095905927793173,0.9121004566210046,0.9232026143790849,0.9412907403410318
RAD-DINO,Edema,4,0.9078334840416626,0.8851002963495899,0.022733187692072776,0.9065401695848725,0.9078334840416626,0.88996688996689,0.8851002963495899
RAD-DINO,Enlarged Cardiomediastinum,4,0.8314285714285714,0.7702265372168284,0.06120203421174297,0.775633555308916,0.7702265372168284,0.8314285714285714,0.7900943396226415
RAD-DINO,Lung Opacity,4,0.8930455635491606,0.7640432614371805,0.12900230211198016,0.7640432614371805,0.7903732809430255,0.8930455635491606,0.7959980771541881
RAD-DINO,Pleural Effusion,4,0.9222215836159168,0.9070050770040582,0.015216506611858582,0.9154250857259161,0.9070050770040582,0.9124464052693719,0.9222215836159168
RAD-DINO,Pneumonia,4,0.8105963323420744,0.7768149882903981,0.03378134405167632,0.786755954763544,0.8105963323420744,0.7768149882903981,0.7991724738675958
RAD-DINO,Pneumothorax,4,0.8191944733667179,0.7588065099457505,0.06038796342096742,0.7651517064944487,0.8191944733667179,0.805076215127984,0.7588065099457505
RAD-DINO,Support Devices,4,0.9236842105263158,0.8116021922469786,0.11208201827933717,0.8116021922469786,0.8329527106637381,0.9236842105263158,0.8485991995425957
CheXzero,Atelectasis,4,0.80625,0.6844776670358066,0.12177233296419343,0.7680515795394445,0.7614839173774535,0.80625,0.6844776670358066
CheXzero,Cardiomegaly,4,0.899805543006423,0.8182249081644744,0.08158063484194866,0.8726143146105482,0.899805543006423,0.8182249081644744,0.8690041518847486
CheXzero,Consolidation,4,0.9245269443844881,0.8957990867579908,0.028727857626497322,0.9068933981402819,0.8957990867579908,0.9170751633986928,0.9245269443844881
CheXzero,Edema,4,0.9071285721287567,0.8891858094797609,0.017942762648995858,0.9071285721287567,0.905144177634884,0.8971278971278972,0.8891858094797609
CheXzero,Enlarged Cardiomediastinum,4,0.8219047619047618,0.7509708737864077,0.0709338881183541,0.7873242693303737,0.7509708737864077,0.8219047619047618,0.8047813036020584
CheXzero,Lung Opacity,4,0.8088729016786571,0.737242141453831,0.07163076022482606,0.7678069817227853,0.737242141453831,0.8088729016786571,0.798011056363418
CheXzero,Pleural Effusion,4,0.9285552809548443,0.9026906108245821,0.02586467013026217,0.9237589754335156,0.9144889885045762,0.9026906108245821,0.9285552809548443
CheXzero,Pneumonia,4,0.8012187978732991,0.7724434035909445,0.02877539428235454,0.7916633310384211,0.8012187978732991,0.7724434035909445,0.7978368176538908
CheXzero,Pneumothorax,4,0.7665889897036706,0.6816817359855335,0.08490725371813712,0.720976014015221,0.7665889897036706,0.7586281276962898,0.6816817359855335
CheXzero,Support Devices,4,0.8342105263157895,0.7777212096527848,0.05648931666300472,0.7825397227434823,0.7777212096527848,0.8342105263157895,0.7986506575185821
CheSS-ResNet50,Atelectasis,4,0.6720191952750093,0.5479166666666666,0.1241025286083427,0.6302674801125904,0.6145308806905765,0.5479166666666666,0.6720191952750093
CheSS-ResNet50,Cardiomegaly,4,0.8738484806819744,0.7961251333096337,0.07772334737234066,0.8465786576191474,0.8738484806819744,0.7961251333096337,0.8530957868296347
CheSS-ResNet50,Consolidation,4,0.8447712418300654,0.8195205479452056,0.025250693884859787,0.8331058590866678,0.8195205479452056,0.8447712418300654,0.8233685876681774
CheSS-ResNet50,Edema,4,0.8843430791386182,0.839859876321154,0.04448320281746421,0.8704590934921765,0.8843430791386182,0.8714098714098715,0.839859876321154
CheSS-ResNet50,Enlarged Cardiomediastinum,4,0.798095238095238,0.7109554199038105,0.08713981819142746,0.7109554199038105,0.7519417475728156,0.798095238095238,0.7617924528301887
CheSS-ResNet50,Lung Opacity,4,0.7544364508393286,0.6087910106958299,0.14564544014349878,0.6698506391456609,0.6596881139489195,0.7544364508393286,0.6087910106958299
CheSS-ResNet50,Pleural Effusion,4,0.878487541166967,0.8504087922163923,0.028078748950574717,0.8743164393463877,0.8504087922163923,0.878487541166967,0.8753491579975862
CheSS-ResNet50,Pneumonia,4,0.7405903261443874,0.6846213895394223,0.05596893660496505,0.7405903261443874,0.7242779580066685,0.6846213895394223,0.7226190476190475
CheSS-ResNet50,Pneumothorax,4,0.666964152907928,0.5678661844484629,0.09909796845946506,0.6540462691172806,0.666964152907928,0.6576790336496979,0.5678661844484629
CheSS-ResNet50,Support Devices,4,0.7179566563467492,0.6476355331869027,0.07032112315984651,0.6525976130223703,0.6476355331869027,0.7179566563467492,0.6877758719268153
