model,label_source,attribute,finding,auroc_baseline,auroc_residualized,auroc_drop
CheXzero,impression_fixed.json,sex,Atelectasis,0.8317538057075011,0.829933991999887,0.001819813707614082
CheXzero,impression_fixed.json,sex,Cardiomegaly,0.9386587041328665,0.9387969741462077,-0.00013827001334121292
CheXzero,impression_fixed.json,sex,Consolidation,0.956172868799147,0.9560533017713598,0.00011956702778714856
CheXzero,impression_fixed.json,sex,Edema,0.8979090148116122,0.8978736286139248,3.5386197687392595e-05
CheXzero,impression_fixed.json,sex,Enlarged Cardiomediastinum,0.8619188921859545,0.8602862186830935,0.001632673502861004
CheXzero,impression_fixed.json,sex,Lung Opacity,0.8653478013460746,0.8655470308524486,-0.00019922950637396575
CheXzero,impression_fixed.json,sex,Pleural Effusion,0.9573939297613148,0.9575038034738721,-0.00010987371255732903
CheXzero,impression_fixed.json,sex,Pneumonia,0.8599177428291351,0.8594915398712868,0.00042620295784834283
CheXzero,impression_fixed.json,sex,Pneumothorax,0.8021681149152723,0.8016257782517849,0.0005423366634873528
CheXzero,impression_fixed.json,sex,Support Devices,0.7570560005614971,0.7557803955322193,0.0012756050292778154
CheXzero,impression_fixed.json,race_black_vs_white,Atelectasis,0.8466223698781838,0.8469504942373159,-0.00032812435913209814
CheXzero,impression_fixed.json,race_black_vs_white,Cardiomegaly,0.9344507066419494,0.9333123211947825,0.0011383854471669341
CheXzero,impression_fixed.json,race_black_vs_white,Consolidation,0.9512686219151469,0.9509605364391044,0.0003080854760425522
CheXzero,impression_fixed.json,race_black_vs_white,Edema,0.8930649960617287,0.8930656973208535,-7.012591247690381e-07
CheXzero,impression_fixed.json,race_black_vs_white,Enlarged Cardiomediastinum,0.8544866702221594,0.8547920590064242,-0.0003053887842647818
CheXzero,impression_fixed.json,race_black_vs_white,Lung Opacity,0.8496158631037984,0.8493538807009763,0.00026198240282215846
CheXzero,impression_fixed.json,race_black_vs_white,Pleural Effusion,0.9543878978433427,0.9537834612313095,0.0006044366120331324
CheXzero,impression_fixed.json,race_black_vs_white,Pneumonia,0.8579066932624112,0.8573110593971631,0.0005956338652480797
CheXzero,impression_fixed.json,race_black_vs_white,Pneumothorax,0.7918575299273494,0.7904789648245457,0.0013785651028036527
CheXzero,impression_fixed.json,race_black_vs_white,Support Devices,0.7519881309066262,0.7518401844420652,0.00014794646456095517
CheXzero,impression_fixed.json,age,Atelectasis,0.8317538057075011,0.8281989851446663,0.0035548205628348484
CheXzero,impression_fixed.json,age,Cardiomegaly,0.9386587041328665,0.9313359355948794,0.007322768537987079
CheXzero,impression_fixed.json,age,Consolidation,0.956172868799147,0.9544734972161508,0.0016993715829961564
CheXzero,impression_fixed.json,age,Edema,0.8979090148116122,0.8945647183201236,0.0033442964914885964
CheXzero,impression_fixed.json,age,Enlarged Cardiomediastinum,0.8619188921859545,0.8576848756505445,0.004234016535410001
CheXzero,impression_fixed.json,age,Lung Opacity,0.8653478013460746,0.8574852343857308,0.00786256696034382
CheXzero,impression_fixed.json,age,Pleural Effusion,0.9573939297613148,0.9531017781408402,0.004292151620474582
CheXzero,impression_fixed.json,age,Pneumonia,0.8599177428291351,0.8590866470613306,0.0008310957678044906
CheXzero,impression_fixed.json,age,Pneumothorax,0.8021681149152723,0.804071469725456,-0.0019033548101836661
CheXzero,impression_fixed.json,age,Support Devices,0.7570560005614971,0.7571837919431632,-0.00012779138166607584
CheXzero,impression_fixed.json,bmi,Atelectasis,0.8195079112275427,0.8198130479436762,-0.000305136716133414
CheXzero,impression_fixed.json,bmi,Cardiomegaly,0.9392578090078494,0.9364634179048437,0.0027943911030057222
CheXzero,impression_fixed.json,bmi,Consolidation,0.9522492601045748,0.9509706592435255,0.0012786008610492505
CheXzero,impression_fixed.json,bmi,Edema,0.8970991060000775,0.8972336423224605,-0.0001345363223830276
CheXzero,impression_fixed.json,bmi,Enlarged Cardiomediastinum,0.8556969416802511,0.8564084188764853,-0.0007114771962342115
CheXzero,impression_fixed.json,bmi,Lung Opacity,0.8614537324454048,0.8624011450085922,-0.000947412563187422
CheXzero,impression_fixed.json,bmi,Pleural Effusion,0.9553649399664023,0.9545850317285455,0.0007799082378567856
CheXzero,impression_fixed.json,bmi,Pneumonia,0.8641878374599351,0.8614343795039474,0.0027534579559876926
CheXzero,impression_fixed.json,bmi,Pneumothorax,0.794624797533677,0.7853904108918056,0.009234386641871373
CheXzero,impression_fixed.json,bmi,Support Devices,0.7509891303953256,0.7505172228117707,0.00047190758355486473
